,PV,P1,P2,Spot_pris,Grid_cap
92,56.7947303919937,2.38911290303804,21.235887096962,1.48,
93,54.6863805620233,2.50293255096767,20.1822526390897,1.48,
94,53.1745263009798,2.68434343393892,19.2513759359717,1.48,
95,51.3386948530097,2.86933479609434,18.6255013839109,1.48,
96,49.0896139700199,2.60219298198353,18.7959551679669,1.47,
97,45.6740196079481,2.23680555599276,18.4206018539844,1.47,
98,43.3811981520848,2.08804563502781,18.7452876949683,1.47,
99,40.4460077299736,2.50580357096624,17.8321593991714,1.47,
100,37.8335414360045,2.72212301602121,16.893617723952,1.47,
101,34.4544487600215,2.83342717692722,16.9212024529697,1.47,
102,31.5526960788993,2.86486486508511,16.648845955031,1.46,
103,29.295343136997,2.91896223090589,16.3080676889513,1.46,
104,28.305147059029,2.83168363501318,16.372020065086,1.46,
105,27.3639705880778,2.68251050508115,17.4059866449097,1.46,
106,14.5551470589126,2.95840592298191,17.8512450769776,1.46,
107,7.44607843097765,3.14538871997502,15.2276525901398,1.46,
108,6.84558823599946,2.87834821396973,15.8689808460185,1.47,
109,6.74754901905544,2.77895752899349,16.5497461708728,1.47,
110,6.00558823603205,2.83711389906239,16.2455071910517,1.47,
111,5.1524999999674,2.76423745194916,16.1901784980437,1.47,
112,4.25,2.9598925850587,17.1002926049987,1.47,
113,3.65000000002328,2.9718286099378,16.4126087098848,1.47,
114,3.64934210502543,2.71989633201156,15.3354811581085,1.49,
115,3.60139318893198,2.58522727200761,14.9888467979617,1.49,
116,2.79812834202312,2.48106060700957,14.4712186030811,1.49,
117,1.60113636404276,2.61948529398069,14.1545531658921,1.49,
118,0.804166665999219,2.60294117603917,14.3651856040815,1.49,
119,0.4375,2.60143716598395,14.4304360538954,1.49,
120,0.208333333954215,2.55871212098282,14.7381183590041,1.5,
121,0.208333333022892,2.44403714605141,15.2639400638873,1.5,
122,0.0,2.44959677394945,15.8470556462416,1.5,
123,0.0,2.47568426199723,16.1843940879917,1.5,
124,0.0,2.21425189403817,16.9682623457629,1.5,
125,0.0,1.92087339702994,17.0837562330998,1.5,
126,0.0,1.73140182194766,16.407487067976,1.5,
127,0.0,1.61169258400332,15.3747746561421,1.5,
128,0.0,1.66477272694465,15.793204482994,1.5,
129,0.0,1.61169258400332,16.1707148259738,1.5,
130,0.0,1.54996867210139,15.1722535478184,1.5,
131,0.0,1.49937343294732,15.3264812671114,1.5,
132,0.0,1.44407894799951,14.7809922719607,1.49,
133,0.0,1.48124999995343,14.824305560207,1.49,
134,0.0,1.53660714207217,15.3430224878248,1.49,
135,0.0,1.4352678579744,14.7776951019187,1.49,
136,0.0,1.31893382302951,14.8338439570507,1.49,
137,0.0,1.34636222897097,15.1661021611653,1.49,
138,0.0,1.26104323298205,15.1200108969351,1.47,
139,0.0,1.125,15.0740740699694,1.47,
140,0.0,1.23511904804036,14.7185846620705,1.47,
141,0.0,1.27604166697711,14.8055110329296,1.47,
142,0.0,1.33506944403052,14.8704148859251,1.47,
143,0.0,1.44791666697711,14.2312143931631,1.47,
