date,time,value
2021-03-09,11:16:20,957255.9375
2021-03-09,11:16:32,957256.8125
2021-03-09,11:16:43,957257.6875
2021-03-09,11:16:55,957258.6875
2021-03-09,11:17:07,957259.6875
2021-03-09,11:17:18,957260.625
2021-03-09,11:17:31,957261.6875
2021-03-09,11:17:42,957262.5
2021-03-09,11:17:54,957263.5
2021-03-09,11:18:06,957264.4375
2021-03-09,11:18:18,957265.4375
2021-03-09,11:18:30,957266.4375
2021-03-09,11:18:42,957267.4375
2021-03-09,11:18:53,957268.3125
2021-03-09,11:19:05,957269.1875
2021-03-09,11:19:16,957270.125
2021-03-09,11:19:28,957271.125
2021-03-09,11:19:40,957272.125
2021-03-09,11:19:51,957273.125
2021-03-09,11:20:03,957274.125
2021-03-09,11:20:16,957275
2021-03-09,11:20:27,957275.9375
2021-03-09,11:20:39,957276.9375
2021-03-09,11:20:51,957278
2021-03-09,11:21:03,957278.9375
2021-03-09,11:21:15,957279.9375
2021-03-09,11:21:27,957280.9375
2021-03-09,11:21:39,957281.8125
2021-03-09,11:21:51,957282.8125
2021-03-09,11:22:03,957283.8125
2021-03-09,11:22:16,957284.9375
2021-03-09,11:22:27,957285.8125
2021-03-09,11:22:39,957286.8125
2021-03-09,11:22:51,957287.6875
2021-03-09,11:23:02,957288.625
2021-03-09,11:23:14,957289.625
2021-03-09,11:23:26,957290.6875
2021-03-09,11:23:38,957291.625
2021-03-09,11:23:51,957292.6875
2021-03-09,11:24:02,957293.625
2021-03-09,11:24:14,957294.625
2021-03-09,11:24:26,957295.625
2021-03-09,11:24:36,957296.5
2021-03-09,11:24:48,957297.4375
2021-03-09,11:25:00,957298.3125
2021-03-09,11:25:11,957299.3125
2021-03-09,11:25:23,957300.1875
2021-03-09,11:25:36,957301.3125
2021-03-09,11:25:47,957302.1875
2021-03-09,11:25:59,957303.1875
2021-03-09,11:26:11,957304.1875
2021-03-09,11:26:22,957305.1875
2021-03-09,11:26:35,957306.1875
2021-03-09,11:26:46,957307.125
2021-03-09,11:26:58,957308.125
2021-03-09,11:27:10,957309.125
2021-03-09,11:27:21,957310
2021-03-09,11:27:32,957310.9375
2021-03-09,11:27:45,957311.9375
2021-03-09,11:27:57,957312.9375
2021-03-09,11:28:09,957313.9375
2021-03-09,11:28:21,957314.9375
2021-03-09,11:28:32,957315.8125
2021-03-09,11:28:43,957316.6875
2021-03-09,11:28:55,957317.6875
2021-03-09,11:29:06,957318.625
2021-03-09,11:29:17,957319.5
2021-03-09,11:29:28,957320.4375
2021-03-09,11:29:40,957321.4375
2021-03-09,11:29:51,957322.3125
2021-03-09,11:30:02,957323.3125
2021-03-09,11:30:14,957324.1875
2021-03-09,11:30:26,957325.1875
2021-03-09,11:30:37,957326.1875
2021-03-09,11:30:49,957327.125
2021-03-09,11:31:01,957328
2021-03-09,11:31:12,957329
2021-03-09,11:31:26,957330.125
2021-03-09,11:31:37,957331
2021-03-09,11:31:48,957331.9375
2021-03-09,11:32:01,957333
2021-03-09,11:32:12,957333.9375
2021-03-09,11:32:24,957334.9375
2021-03-09,11:32:37,957335.9375
2021-03-09,11:32:48,957336.8125
2021-03-09,11:33:01,957337.9375
2021-03-09,11:33:12,957338.8125
2021-03-09,11:33:24,957339.8125
2021-03-09,11:33:36,957340.8125
2021-03-09,11:33:48,957341.6875
2021-03-09,11:34:00,957342.6875
2021-03-09,11:34:12,957343.6875
2021-03-09,11:34:22,957344.5
2021-03-09,11:34:34,957345.5
2021-03-09,11:34:47,957346.625
2021-03-09,11:34:58,957347.5
2021-03-09,11:35:09,957348.4375
2021-03-09,11:35:21,957349.4375
2021-03-09,11:35:32,957350.3125
2021-03-09,11:35:44,957351.1875
2021-03-09,11:35:56,957352.1875
2021-03-09,11:36:07,957353.125
2021-03-09,11:36:18,957354
2021-03-09,11:36:30,957355
2021-03-09,11:36:42,957356
2021-03-09,11:36:53,957356.9375
2021-03-09,11:37:05,957357.9375
2021-03-09,11:37:17,957358.9375
2021-03-09,11:37:28,957359.8125
2021-03-09,11:37:41,957360.8125
2021-03-09,11:37:52,957361.6875
2021-03-09,11:38:04,957362.6875
2021-03-09,11:38:16,957363.6875
2021-03-09,11:38:27,957364.625
2021-03-09,11:38:39,957365.625
2021-03-09,11:38:52,957366.625
2021-03-09,11:39:02,957367.5
2021-03-09,11:39:15,957368.5
2021-03-09,11:39:27,957369.5
2021-03-09,11:39:38,957370.4375
2021-03-09,11:39:51,957371.5
2021-03-09,11:40:02,957372.4375
2021-03-09,11:40:14,957373.4375
2021-03-09,11:40:26,957374.3125
2021-03-09,11:40:38,957375.3125
2021-03-09,11:40:49,957376.1875
2021-03-09,11:41:02,957377.3125
2021-03-09,11:41:13,957378.1875
2021-03-09,11:41:24,957379.125
2021-03-09,11:41:36,957380.125
2021-03-09,11:41:47,957381
2021-03-09,11:41:59,957381.9375
2021-03-09,11:42:11,957382.9375
2021-03-09,11:42:23,957383.9375
2021-03-09,11:42:35,957384.9375
2021-03-09,11:42:47,957385.9375
2021-03-09,11:42:59,957386.9375
2021-03-09,11:43:11,957387.8125
2021-03-09,11:43:23,957388.8125
2021-03-09,11:43:35,957389.8125
2021-03-09,11:43:47,957390.8125
2021-03-09,11:43:59,957391.8125
2021-03-09,11:44:11,957392.6875
2021-03-09,11:44:22,957393.625
2021-03-09,11:44:34,957394.625
2021-03-09,11:44:47,957395.625
2021-03-09,11:44:58,957396.625
2021-03-09,11:45:11,957397.625
2021-03-09,11:45:22,957398.5
2021-03-09,11:45:33,957399.4375
2021-03-09,11:45:46,957400.5
2021-03-09,11:45:57,957401.4375
2021-03-09,11:46:10,957402.4375
2021-03-09,11:46:22,957403.4375
2021-03-09,11:46:34,957404.5
2021-03-09,11:46:46,957405.4375
2021-03-09,11:46:58,957406.4375
2021-03-09,11:47:11,957407.5
2021-03-09,11:47:22,957408.4375
2021-03-09,11:47:34,957409.4375
2021-03-09,11:47:46,957410.3125
2021-03-09,11:47:59,957411.4375
2021-03-09,11:48:11,957412.4375
2021-03-09,11:48:23,957413.4375
2021-03-09,11:48:36,957414.4375
2021-03-09,11:48:47,957415.3125
2021-03-09,11:48:59,957416.3125
2021-03-09,11:49:11,957417.3125
2021-03-09,11:49:22,957418.1875
2021-03-09,11:49:34,957419.1875
2021-03-09,11:49:46,957420.125
2021-03-09,11:49:57,957421
2021-03-09,11:50:08,957421.9375
2021-03-09,11:50:21,957423
2021-03-09,11:50:32,957423.9375
2021-03-09,11:50:43,957424.8125
2021-03-09,11:50:56,957425.8125
2021-03-09,11:51:07,957426.6875
2021-03-09,11:51:17,957427.625
2021-03-09,11:51:29,957428.5
2021-03-09,11:51:42,957429.5
2021-03-09,11:51:53,957430.5
2021-03-09,11:52:05,957431.5
2021-03-09,11:52:17,957432.5
2021-03-09,11:52:28,957433.3125
2021-03-09,11:52:39,957434.3125
2021-03-09,11:52:51,957435.3125
2021-03-09,11:53:02,957436.1875
2021-03-09,11:53:14,957437.1875
2021-03-09,11:53:26,957438.125
2021-03-09,11:53:37,957439
2021-03-09,11:53:49,957440
2021-03-09,11:54:02,957441
2021-03-09,11:54:13,957442
2021-03-09,11:54:25,957443
2021-03-09,11:54:37,957443.9375
2021-03-09,11:54:48,957444.8125
2021-03-09,11:54:59,957445.8125
2021-03-09,11:55:12,957446.8125
2021-03-09,11:55:23,957447.6875
2021-03-09,11:55:35,957448.6875
2021-03-09,11:55:47,957449.6875
2021-03-09,11:55:59,957450.625
2021-03-09,11:56:11,957451.6875
2021-03-09,11:56:23,957452.625
2021-03-09,11:56:34,957453.5
2021-03-09,11:56:45,957454.4375
2021-03-09,11:56:57,957455.4375
2021-03-09,11:57:09,957456.4375
2021-03-09,11:57:22,957457.5
2021-03-09,11:57:33,957458.4375
2021-03-09,11:57:45,957459.4375
2021-03-09,11:57:57,957460.3125
2021-03-09,11:58:08,957461.3125
2021-03-09,11:58:21,957462.3125
2021-03-09,11:58:32,957463.1875
2021-03-09,11:58:44,957464.125
2021-03-09,11:58:56,957465.1875
2021-03-09,11:59:08,957466.125
2021-03-09,11:59:19,957467.125
2021-03-09,11:59:31,957468.125
2021-03-09,11:59:42,957469
2021-03-09,11:59:54,957470
2021-03-09,12:00:06,957471
2021-03-09,12:00:17,957471.9375
2021-03-09,12:00:29,957472.8125
2021-03-09,12:00:41,957473.8125
2021-03-09,12:00:52,957474.6875
2021-03-09,12:01:04,957475.6875
2021-03-09,12:01:16,957476.6875
2021-03-09,12:01:28,957477.625
2021-03-09,12:01:40,957478.6875
2021-03-09,12:01:52,957479.6875
2021-03-09,12:02:03,957480.625
2021-03-09,12:02:16,957481.625
2021-03-09,12:02:27,957482.625
2021-03-09,12:02:39,957483.5
2021-03-09,12:02:51,957484.5
2021-03-09,12:03:02,957485.5
2021-03-09,12:03:14,957486.4375
2021-03-09,12:03:26,957487.4375
2021-03-09,12:03:37,957488.4375
2021-03-09,12:03:50,957489.4375
2021-03-09,12:04:01,957490.4375
2021-03-09,12:04:13,957491.3125
2021-03-09,12:04:25,957492.3125
