,time,price
6,2021-03-28 05:00:00+00:00,373.25
7,2021-03-28 06:00:00+00:00,372.24
8,2021-03-28 07:00:00+00:00,371.74
9,2021-03-28 08:00:00+00:00,373.35
10,2021-03-28 09:00:00+00:00,373.35
11,2021-03-28 10:00:00+00:00,372.44
12,2021-03-28 11:00:00+00:00,373.05
13,2021-03-28 12:00:00+00:00,372.24
14,2021-03-28 13:00:00+00:00,372.04
15,2021-03-28 14:00:00+00:00,371.33
16,2021-03-28 15:00:00+00:00,370.62
17,2021-03-28 16:00:00+00:00,372.85
18,2021-03-28 17:00:00+00:00,374.77
19,2021-03-28 18:00:00+00:00,392.48
20,2021-03-28 19:00:00+00:00,399.96
21,2021-03-28 20:00:00+00:00,400.17
22,2021-03-28 21:00:00+00:00,399.16
23,2021-03-28 22:00:00+00:00,395.51
0,2021-03-28 23:00:00+00:00,373.76
1,2021-03-29 00:00:00+00:00,362.22
2,2021-03-29 01:00:00+00:00,361.41
3,2021-03-29 02:00:00+00:00,361.41
4,2021-03-29 03:00:00+00:00,361.72
5,2021-03-29 04:00:00+00:00,362.53
6,2021-03-29 05:00:00+00:00,368.19
7,2021-03-29 06:00:00+00:00,389.34
8,2021-03-29 07:00:00+00:00,397.23
9,2021-03-29 08:00:00+00:00,393.79
10,2021-03-29 09:00:00+00:00,374.97
11,2021-03-29 10:00:00+00:00,364.25
12,2021-03-29 11:00:00+00:00,362.43
13,2021-03-29 12:00:00+00:00,361.52
14,2021-03-29 13:00:00+00:00,360.5
15,2021-03-29 14:00:00+00:00,359.39
16,2021-03-29 15:00:00+00:00,362.12
17,2021-03-29 16:00:00+00:00,362.33
18,2021-03-29 17:00:00+00:00,372.44
19,2021-03-29 18:00:00+00:00,373.86
20,2021-03-29 19:00:00+00:00,377.81
21,2021-03-29 20:00:00+00:00,378.62
22,2021-03-29 21:00:00+00:00,366.07
23,2021-03-29 22:00:00+00:00,357.87
0,2021-03-29 23:00:00+00:00,355.37
1,2021-03-30 00:00:00+00:00,353.45
2,2021-03-30 01:00:00+00:00,352.13
3,2021-03-30 02:00:00+00:00,352.74
4,2021-03-30 03:00:00+00:00,358.19
5,2021-03-30 04:00:00+00:00,367.08
6,2021-03-30 05:00:00+00:00,378.18
7,2021-03-30 06:00:00+00:00,400.19
8,2021-03-30 07:00:00+00:00,419.78
9,2021-03-30 08:00:00+00:00,419.88
10,2021-03-30 09:00:00+00:00,418.46
11,2021-03-30 10:00:00+00:00,409.38
12,2021-03-30 11:00:00+00:00,391.41
13,2021-03-30 12:00:00+00:00,377.37
14,2021-03-30 13:00:00+00:00,373.03
15,2021-03-30 14:00:00+00:00,374.55
16,2021-03-30 15:00:00+00:00,386.96
17,2021-03-30 16:00:00+00:00,399.79
18,2021-03-30 17:00:00+00:00,405.34
19,2021-03-30 18:00:00+00:00,408.47
20,2021-03-30 19:00:00+00:00,409.38
21,2021-03-30 20:00:00+00:00,410.79
22,2021-03-30 21:00:00+00:00,407.36
23,2021-03-30 22:00:00+00:00,400.69
0,2021-03-30 23:00:00+00:00,384.95
1,2021-03-31 00:00:00+00:00,379.93
2,2021-03-31 01:00:00+00:00,378.42
3,2021-03-31 02:00:00+00:00,380.23
4,2021-03-31 03:00:00+00:00,383.44
5,2021-03-31 04:00:00+00:00,386.66
6,2021-03-31 05:00:00+00:00,393.79
7,2021-03-31 06:00:00+00:00,413.69
8,2021-03-31 07:00:00+00:00,426.35
9,2021-03-31 08:00:00+00:00,418.31
10,2021-03-31 09:00:00+00:00,419.62
11,2021-03-31 10:00:00+00:00,418.41
12,2021-03-31 11:00:00+00:00,414.99
13,2021-03-31 12:00:00+00:00,408.56
14,2021-03-31 13:00:00+00:00,413.29
15,2021-03-31 14:00:00+00:00,410.87
16,2021-03-31 15:00:00+00:00,409.17
17,2021-03-31 16:00:00+00:00,412.99
18,2021-03-31 17:00:00+00:00,414.89
19,2021-03-31 18:00:00+00:00,413.99
20,2021-03-31 19:00:00+00:00,398.21
21,2021-03-31 20:00:00+00:00,390.88
22,2021-03-31 21:00:00+00:00,385.45
23,2021-03-31 22:00:00+00:00,380.33
0,2021-03-31 23:00:00+00:00,393.05
1,2021-04-01 00:00:00+00:00,392.15
2,2021-04-01 01:00:00+00:00,392.05
3,2021-04-01 02:00:00+00:00,389.56
4,2021-04-01 03:00:00+00:00,384.66
5,2021-04-01 04:00:00+00:00,388.46
6,2021-04-01 05:00:00+00:00,404.63
7,2021-04-01 06:00:00+00:00,412.82
8,2021-04-01 07:00:00+00:00,422.5
9,2021-04-01 08:00:00+00:00,426.0
10,2021-04-01 09:00:00+00:00,423.7
11,2021-04-01 10:00:00+00:00,412.32
12,2021-04-01 11:00:00+00:00,396.94
13,2021-04-01 12:00:00+00:00,378.47
14,2021-04-01 13:00:00+00:00,353.32
15,2021-04-01 14:00:00+00:00,373.78
16,2021-04-01 15:00:00+00:00,396.44
17,2021-04-01 16:00:00+00:00,396.64
18,2021-04-01 17:00:00+00:00,398.44
19,2021-04-01 18:00:00+00:00,400.74
20,2021-04-01 19:00:00+00:00,397.04
21,2021-04-01 20:00:00+00:00,395.55
22,2021-04-01 21:00:00+00:00,395.35
23,2021-04-01 22:00:00+00:00,394.65
0,2021-04-01 23:00:00+00:00,396.16
1,2021-04-02 00:00:00+00:00,395.36
2,2021-04-02 01:00:00+00:00,395.06
3,2021-04-02 02:00:00+00:00,393.85
4,2021-04-02 03:00:00+00:00,392.44
5,2021-04-02 04:00:00+00:00,392.04
6,2021-04-02 05:00:00+00:00,394.35
7,2021-04-02 06:00:00+00:00,393.45
8,2021-04-02 07:00:00+00:00,382.08
9,2021-04-02 08:00:00+00:00,376.45
10,2021-04-02 09:00:00+00:00,359.85
