,index,PmP2QAct,PmP2PAct,PL,FedQAct,elspec_PmEAct,PmP2EImportAct,PV,Met_WdSpd,Met_Temp,Met_IrrGloHoztl,Met_IrrPOA,Met_ModTemo,SysBatIAct,SysBatEAct,SysBatSocTotAct,SysBatVAct,SysBatChargingSt,SysBatDischargingSt,date
1629,16290,-3.331119862971482,12.430143276182543,284.67770553728855,10.754547521608686,278.74999995343387,13.125,93.00000000279397,1.0,3.025000035762787,150.0,206.0,0.5,-1.5,762.2496032714844,69.64999771118165,743.1499938964844,0.8989547038327526,0.5356600910470409,2020-10-12 08:30:00
1630,16300,-3.002768809241907,17.558342452671212,299.9076557331257,10.512176999505959,332.49999997671694,15.000000020954758,109.50000000419095,0.7272727272727273,3.5,162.0,218.0,0.5,0.0,762.2496032714844,69.64999771118165,743.0799926757811,0.9012775842044134,0.5367439843919358,2020-10-12 08:40:00
1631,16310,-2.483266714007356,14.971122505318402,286.0006917317708,7.595352865614983,274.9999999953434,15.0,121.50000000139698,1.0,4.066666603088379,173.5,229.5,0.5,1.071428571428571,762.0671997070312,69.63333129882812,743.0499954223632,0.9036004645760742,0.5378278777368307,2020-10-12 08:50:00
1632,16320,-2.0654595044943,13.43663840008597,300.6213975129305,11.561890536663578,286.24999995343387,15.0,147.87500000093132,0.8333333333333334,4.5333333015441895,185.0,241.0,0.5,-1.8,762.7968139648436,69.69999694824217,743.089990234375,0.9059233449477353,0.5389117710817255,2020-10-12 09:00:00
1633,16330,-2.80901505381374,13.540537543215995,300.8441139914772,11.214371457307236,332.50000001862645,15.0,165.0,0.4285714285714286,5.0333333015441895,197.0,252.0,0.5,-0.6666666666666661,762.2496032714844,69.64999771118165,743.0599853515625,0.9082462253193961,0.5399956644266204,2020-10-12 09:10:00
1634,16340,-3.682551509401072,11.92062639367991,291.9719251666152,9.152345764744384,334.99999998137355,11.875000011641532,163.49999999860302,0.0,5.700000286102295,210.0,262.0,0.5,1.375,762.2496032714844,69.64999771118165,743.0,0.910569105691057,0.5410795577715153,2020-10-12 09:20:00
1635,16350,-3.004420122178662,13.340461001676672,300.3069760357892,13.516064105210479,286.24999995343387,13.125,177.00000000419095,0.0,6.200000286102295,223.0,271.0,0.5,0.11111111111111101,762.2496032714844,69.64999771118165,743.0499954223632,0.9128919860627178,0.5421634511164102,2020-10-12 09:30:00
1636,16360,-3.671360105276108,11.039357137680055,278.03305823780676,9.414371853783019,312.5000000372529,9.375,186.74999999580905,0.5,6.599999904632568,238.0,280.3333333333333,0.5,-0.16666666666666602,762.2496032714844,69.64999771118165,743.029992675781,0.9152148664343787,0.543247344461305,2020-10-12 09:40:00
1637,16370,-2.366323325541112,12.07290520339176,262.9208221435547,7.524679467484755,248.7499999953434,12.499999981373549,212.62499999720603,0.7272727272727273,7.333333492279052,250.0,289.0,0.5,0.9333333333333331,762.2496032714844,69.64999771118165,742.9833374023436,0.9175377468060395,0.5443312378061999,2020-10-12 09:50:00
1638,16380,-3.43670247570943,11.885611574188996,306.5586892587167,8.980282788276671,286.24999998137355,9.375,210.0,0.25,7.400000095367431,262.0,295.6666666666667,0.5,-0.461538461538461,762.4320068359375,69.66666412353514,743.0,0.9198606271777003,0.5454151311510947,2020-10-12 10:00:00
1639,16390,-4.351462610000002,10.68460138709144,289.26690417138224,9.071095561981199,266.25,13.125,238.62499999813735,1.0,7.8428572927202485,274.5,303.5,0.5,0.0,762.2496032714844,69.64999771118165,743.0199951171875,0.9221835075493612,0.5464990244959896,2020-10-12 10:10:00
