,i,type,prob,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
12,4.0,0.0,0.4097576440281706,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.747043726220037,0.0,0.0,-14.543955804724613,-7.940883214795736,-9.440883214795736,-36.74500110981812,-17.62000110981812
13,4.0,1.0,0.3858615379214971,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.88125,2.4375,2.7248848820246203,7.13113488202462,10.599884882024622,2.7589433580046436,9.433943358004644,17.06519335800464,-1.7088505910983507,5.903649408901649
14,4.0,2.0,0.2043808180503324,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,6.75,15.0,22.02482035849944,30.27482035849944,36.0,16.48109218906049,34.618214570528146,59.36821457052815,23.048417099103137,30.548417099103137
15,5.0,0.0,0.4097576440281706,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.747043726220037,0.0,0.0,-14.543955804724613,-7.940883214795736,-9.440883214795736,-36.74500110981812,-17.62000110981812
16,5.0,1.0,0.3858615379214971,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.88125,2.4375,2.7248848820246203,7.13113488202462,10.599884882024622,2.7589433580046436,9.433943358004644,17.06519335800464,-1.7088505910983507,5.903649408901649
17,5.0,2.0,0.2043808180503324,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,6.75,15.0,22.02482035849944,30.27482035849944,36.0,16.48109218906049,34.618214570528146,59.36821457052815,23.048417099103137,30.548417099103137
18,6.0,0.0,0.4097576440281706,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.747043726220037,0.0,0.0,-14.543955804724613,-7.940883214795736,-9.440883214795736,-36.74500110981812,-17.62000110981812
19,6.0,1.0,0.3858615379214971,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.88125,2.4375,2.7248848820246203,7.13113488202462,10.599884882024622,2.7589433580046436,9.433943358004644,17.06519335800464,-1.7088505910983507,5.903649408901649
20,6.0,2.0,0.2043808180503324,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,6.75,15.0,22.02482035849944,30.27482035849944,36.0,16.48109218906049,34.618214570528146,59.36821457052815,23.048417099103137,30.548417099103137
21,7.0,0.0,0.4097576440281706,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.747043726220037,0.0,0.0,-14.543955804724613,-7.940883214795736,-9.440883214795736,-36.74500110981812,-17.62000110981812
22,7.0,1.0,0.3858615379214971,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.88125,2.4375,2.7248848820246203,7.13113488202462,10.599884882024622,2.7589433580046436,9.433943358004644,17.06519335800464,-1.7088505910983507,5.903649408901649
23,7.0,2.0,0.2043808180503324,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,6.75,15.0,22.02482035849944,30.27482035849944,36.0,16.48109218906049,34.618214570528146,59.36821457052815,23.048417099103137,30.548417099103137
24,8.0,0.0,0.25099141837046823,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.747043726220037,0.0,0.0,-14.543955804724613,-7.940883214795736,-9.440883214795736,-36.74500110981812,-17.62000110981812,-20.62000110981812,-62.366317264179855,-54.866317264179855,-51.58762064881191,-102.84534783695804,-90.84534783695804
25,8.0,1.0,0.5310989661301893,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.88125,2.4375,2.7248848820246203,7.13113488202462,10.599884882024622,2.6307326637914845,9.474482663791486,17.143232663791487,-2.2824750412367023,5.461274958763298,17.3487749587633,-1.2485114578763743,8.557738542123627,12.045238542123625,-19.777128174775097,-1.1583781747750976
26,8.0,2.0,0.21790961549934257,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,6.75,15.0,22.02482035849944,30.27482035849944,36.0,16.48109218906049,34.618214570528146,59.36821457052815,23.048417099103137,30.548417099103137,53.65090499205205,54.39215649570497,124.51715649570497,83.64215649570497,69.48941074042713,72.86441074042713
27,9.0,0.0,0.25099141837046823,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.747043726220037,0.0,0.0,-14.543955804724613,-7.940883214795736,-9.440883214795736,-36.74500110981812,-17.62000110981812,-20.62000110981812,-62.366317264179855,-54.866317264179855,-51.58762064881191,-102.84534783695804,-90.84534783695804
28,9.0,1.0,0.5310989661301893,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.88125,2.4375,2.7248848820246203,7.13113488202462,10.599884882024622,2.6307326637914845,9.474482663791486,17.143232663791487,-2.2824750412367023,5.461274958763298,17.3487749587633,-1.2485114578763743,8.557738542123627,12.045238542123625,-19.777128174775097,-1.1583781747750976
29,9.0,2.0,0.21790961549934257,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,6.75,15.0,22.02482035849944,30.27482035849944,36.0,16.48109218906049,34.618214570528146,59.36821457052815,23.048417099103137,30.548417099103137,53.65090499205205,54.39215649570497,124.51715649570497,83.64215649570497,69.48941074042713,72.86441074042713
30,10.0,0.0,0.25099141837046823,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.747043726220037,0.0,0.0,-14.543955804724613,-7.940883214795736,-9.440883214795736,-36.74500110981812,-17.62000110981812,-20.62000110981812,-62.366317264179855,-54.866317264179855,-51.58762064881191,-102.84534783695804,-90.84534783695804
31,10.0,1.0,0.5310989661301893,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.88125,2.4375,2.7248848820246203,7.13113488202462,10.599884882024622,2.6307326637914845,9.474482663791486,17.143232663791487,-2.2824750412367023,5.461274958763298,17.3487749587633,-1.2485114578763743,8.557738542123627,12.045238542123625,-19.777128174775097,-1.1583781747750976
