,i,type,prob,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
11,3.0,2.0,0.16814318016549404,7.609375,6.755208333333343,6.1796875,6.005208333333314,7.583333333333343,4.09375,5.46484375,0.6354166666666572,4.1015625,3.802083333333343,6.294270833333343,7.5,5.234375,9.609375,10.8125,6.953125,11.046875,5.328125,7.15625,9.25,10.46875,12.0625,7.875,10.984375,10.171875,31.0,23.65625,29.015625,29.15625,6.698863636363626,31.6875,26.587499999999977,13.625,18.96875,33.375,29.109375,28.4375,41.07954545454544,37.875,23.71875,27.921875,41.921875,24.9375,11.59375,30.359375,24.125,36.890625,29.109375,18.921875,19.33125000000001,25.6875,41.0625,28.25,20.26704545454544,33.203125,14.539772727272748,19.039772727272748,26.0625,15.340909090909063,29.79545454545456
12,4.0,0.0,0.16019705187549732,-7.247395833333329,-1.9739583333333288,-7.02734375,-8.895833333333343,-7.40234375,-8.3203125,-9.334635416666655,-9.3125,-5.043749999999989,-9.005208333333343,-10.260937499999995,-11.203125,-6.140625,-7.75,-8.0625,-12.015625,-14.625,-11.78125,-15.5,-10.921875,-13.078125,-12.068181818181811,-15.828125,-15.140625,-16.25,-20.386363636363622,-21.767045454545467,-26.34375,-11.984375,-26.09375,-36.28125,-32.5,-27.71875,-33.53125,-42.21875,-46.5625,-20.25,-14.40625,-15.859375,-21.306818181818187,-21.328125,-30.453125,-21.21875,-26.640625,-44.125,-29.375,-41.421875,-35.640625,-22.96875,-25.625,-31.953125,-35.875,-27.828125,-35.984375,-43.828125,-36.71875,-40.796875,-34.21875,-32.046875,-13.859375
13,4.0,1.0,0.6701011863515892,-0.8777698863636332,0.9555681818181838,-1.2364772727272721,-2.5903409090909193,-0.9873579545454504,-0.3568465909090904,-4.4911363636363575,-1.7038636363636328,-1.8842045454545442,-2.4870738636363683,-2.5925,-2.365056818181819,-0.33835227272727336,-1.0198295454545458,-1.8328977272727272,-2.4450000000000003,-2.8065340909090906,-2.5382386363636384,-3.876988636363637,-2.3510795454545472,-4.330909090909091,-4.28931818181818,-5.918181818181819,-5.08568181818182,-2.9819318181818177,-6.1036363636363635,-4.031079545454546,-1.4497159090909093,-2.598238636363638,-1.1287500000000024,1.878068181818179,-2.8297159090909076,-3.724431818181819,2.289715909090904,1.9539204545454538,2.597727272727275,3.579204545454542,3.170625000000001,3.2411931818181814,0.4286931818181813,1.1457954545454583,-4.074715909090907,-2.290568181818179,2.3331818181818162,-0.7996022727272759,4.691079545454545,-4.07318181818182,-7.033125000000001,-1.9984090909090924,-0.9959659090909042,2.1792613636363627,-0.7525568181818187,-3.873920454545458,-1.1134090909090957,-8.706647727272724,-8.129147727272727,-4.2581250000000015,-5.514034090909092,-4.310454545454542,-0.929488636363635
14,4.0,2.0,0.16970176177291352,3.674479166666672,7.026041666666671,6.28515625,8.354166666666657,4.052083333333343,5.9659090909090935,0.6653645833333428,5.583333333333343,5.90625,7.776041666666657,7.09375,5.234375,9.609375,10.8125,6.953125,11.046875,5.328125,7.15625,9.25,10.46875,12.0625,7.875,10.984375,10.171875,31.0,23.65625,29.015625,29.15625,6.698863636363626,31.6875,26.587499999999977,13.625,18.96875,33.375,29.109375,28.4375,41.07954545454544,37.875,23.71875,27.921875,41.921875,24.9375,11.59375,30.359375,24.125,36.890625,29.109375,18.921875,19.33125000000001,25.6875,41.0625,28.25,20.26704545454544,33.203125,14.539772727272748,19.039772727272748,26.0625,15.340909090909063,29.79545454545456,17.761363636363626
15,5.0,0.0,0.16190195930111395,-4.346354166666671,-8.6875,-8.9296875,-8.796875000000014,-5.87890625,-8.0546875,-10.4140625,-5.25,-6.6796875,-10.421875,-10.06640625,-6.140625,-7.75,-8.0625,-12.015625,-14.625,-11.78125,-15.5,-10.921875,-13.078125,-12.068181818181811,-15.828125,-15.140625,-16.25,-20.386363636363622,-21.767045454545467,-26.34375,-11.984375,-26.09375,-36.28125,-32.5,-27.71875,-33.53125,-42.21875,-46.5625,-20.25,-14.40625,-15.859375,-21.306818181818187,-21.328125,-30.453125,-21.21875,-26.640625,-44.125,-29.375,-41.421875,-35.640625,-22.96875,-25.625,-31.953125,-35.875,-27.828125,-35.984375,-43.828125,-36.71875,-40.796875,-34.21875,-32.046875,-13.859375,-24.5625
16,5.0,1.0,0.6632584574617756,1.9137215909090883,-0.3649431818181782,-1.8583806818181814,-0.22488636363637515,-0.005184659090909172,-3.877670454545455,-1.2971306818181858,-1.370681818181825,-1.989928977272727,-2.211647727272728,-2.1742187499999943,-0.33835227272727336,-1.0198295454545458,-1.8328977272727272,-2.4450000000000003,-2.8065340909090906,-2.5382386363636384,-3.876988636363637,-2.3510795454545472,-4.330909090909091,-4.28931818181818,-5.918181818181819,-5.08568181818182,-2.9819318181818177,-6.1036363636363635,-4.031079545454546,-1.4497159090909093,-2.598238636363638,-1.1287500000000024,1.878068181818179,-2.8297159090909076,-3.724431818181819,2.289715909090904,1.9539204545454538,2.597727272727275,3.579204545454542,3.170625000000001,3.2411931818181814,0.4286931818181813,1.1457954545454583,-4.074715909090907,-2.290568181818179,2.3331818181818162,-0.7996022727272759,4.691079545454545,-4.07318181818182,-7.033125000000001,-1.9984090909090924,-0.9959659090909042,2.1792613636363627,-0.7525568181818187,-3.873920454545458,-1.1134090909090957,-8.706647727272724,-8.129147727272727,-4.2581250000000015,-5.514034090909092,-4.310454545454542,-0.929488636363635,-3.3484090909090924
17,5.0,2.0,0.17483958323711038,6.638020833333329,8.596354166666671,9.59375,8.051136363636346,10.190340909090908,1.9765625,4.658854166666657,5.166666666666657,7.4765625,7.21875,4.970052083333343,9.609375,10.8125,6.953125,11.046875,5.328125,7.15625,9.25,10.46875,12.0625,7.875,10.984375,10.171875,31.0,23.65625,29.015625,29.15625,6.698863636363626,31.6875,26.587499999999977,13.625,18.96875,33.375,29.109375,28.4375,41.07954545454544,37.875,23.71875,27.921875,41.921875,24.9375,11.59375,30.359375,24.125,36.890625,29.109375,18.921875,19.33125000000001,25.6875,41.0625,28.25,20.26704545454544,33.203125,14.539772727272748,19.039772727272748,26.0625,15.340909090909063,29.79545454545456,17.761363636363626,15.528409090909063
18,6.0,0.0,0.16491570746172818,-6.34375,-8.3125,-6.69140625,-7.921875000000014,-9.774739583333329,-9.328125,-5.303124999999994,-7.666666666666657,-10.598437499999989,-10.513020833333345,-5.55078125,-7.75,-8.0625,-12.015625,-14.625,-11.78125,-15.5,-10.921875,-13.078125,-12.068181818181811,-15.828125,-15.140625,-16.25,-20.386363636363622,-21.767045454545467,-26.34375,-11.984375,-26.09375,-36.28125,-32.5,-27.71875,-33.53125,-42.21875,-46.5625,-20.25,-14.40625,-15.859375,-21.306818181818187,-21.328125,-30.453125,-21.21875,-26.640625,-44.125,-29.375,-41.421875,-35.640625,-22.96875,-25.625,-31.953125,-35.875,-27.828125,-35.984375,-43.828125,-36.71875,-40.796875,-34.21875,-32.046875,-13.859375,-24.5625,-24.03125
19,6.0,1.0,0.6661979584925044,-2.115284090909094,-3.498295454545449,-1.5842897727272713,-1.525397727272741,-4.886079545454544,-2.2622727272727277,-1.9790340909090844,-2.364659090909086,-2.4526704545454536,-2.355255681818187,-0.22265625,-1.0198295454545458,-1.8328977272727272,-2.4450000000000003,-2.8065340909090906,-2.5382386363636384,-3.876988636363637,-2.3510795454545472,-4.330909090909091,-4.28931818181818,-5.918181818181819,-5.08568181818182,-2.9819318181818177,-6.1036363636363635,-4.031079545454546,-1.4497159090909093,-2.598238636363638,-1.1287500000000024,1.878068181818179,-2.8297159090909076,-3.724431818181819,2.289715909090904,1.9539204545454538,2.597727272727275,3.579204545454542,3.170625000000001,3.2411931818181814,0.4286931818181813,1.1457954545454583,-4.074715909090907,-2.290568181818179,2.3331818181818162,-0.7996022727272759,4.691079545454545,-4.07318181818182,-7.033125000000001,-1.9984090909090924,-0.9959659090909042,2.1792613636363627,-0.7525568181818187,-3.873920454545458,-1.1134090909090957,-8.706647727272724,-8.129147727272727,-4.2581250000000015,-5.514034090909092,-4.310454545454542,-0.929488636363635,-3.3484090909090924,-5.712102272727276
20,6.0,2.0,0.16888633404576736,3.5325520833333286,3.927083333333343,4.1164772727272805,6.60227272727272,1.2252604166666714,3.015625,3.708333333333343,6.458333333333343,5.4375,3.611979166666657,8.90234375,10.8125,6.953125,11.046875,5.328125,7.15625,9.25,10.46875,12.0625,7.875,10.984375,10.171875,31.0,23.65625,29.015625,29.15625,6.698863636363626,31.6875,26.587499999999977,13.625,18.96875,33.375,29.109375,28.4375,41.07954545454544,37.875,23.71875,27.921875,41.921875,24.9375,11.59375,30.359375,24.125,36.890625,29.109375,18.921875,19.33125000000001,25.6875,41.0625,28.25,20.26704545454544,33.203125,14.539772727272748,19.039772727272748,26.0625,15.340909090909063,29.79545454545456,17.761363636363626,15.528409090909063,13.960227272727252
21,7.0,0.0,0.16660137305180922,-6.8515625,-3.8984375,-4.81640625,-7.244791666666686,-5.7265625,-3.53125,-5.9048295454545325,-9.400000000000006,-9.94921875,-4.1484375,-7.869791666666657,-8.0625,-12.015625,-14.625,-11.78125,-15.5,-10.921875,-13.078125,-12.068181818181811,-15.828125,-15.140625,-16.25,-20.386363636363622,-21.767045454545467,-26.34375,-11.984375,-26.09375,-36.28125,-32.5,-27.71875,-33.53125,-42.21875,-46.5625,-20.25,-14.40625,-15.859375,-21.306818181818187,-21.328125,-30.453125,-21.21875,-26.640625,-44.125,-29.375,-41.421875,-35.640625,-22.96875,-25.625,-31.953125,-35.875,-27.828125,-35.984375,-43.828125,-36.71875,-40.796875,-34.21875,-32.046875,-13.859375,-24.5625,-24.03125,-31.921875
22,7.0,1.0,0.6568282446698095,-1.6257102272727237,0.2156818181818238,-0.2393607954545459,-3.441363636363653,-1.1274147727272676,-0.8405113636363624,-1.3456392045454577,-1.6530681818181818,-1.848792613636364,0.22741477272727195,-0.8317187499999944,-1.8328977272727272,-2.4450000000000003,-2.8065340909090906,-2.5382386363636384,-3.876988636363637,-2.3510795454545472,-4.330909090909091,-4.28931818181818,-5.918181818181819,-5.08568181818182,-2.9819318181818177,-6.1036363636363635,-4.031079545454546,-1.4497159090909093,-2.598238636363638,-1.1287500000000024,1.878068181818179,-2.8297159090909076,-3.724431818181819,2.289715909090904,1.9539204545454538,2.597727272727275,3.579204545454542,3.170625000000001,3.2411931818181814,0.4286931818181813,1.1457954545454583,-4.074715909090907,-2.290568181818179,2.3331818181818162,-0.7996022727272759,4.691079545454545,-4.07318181818182,-7.033125000000001,-1.9984090909090924,-0.9959659090909042,2.1792613636363627,-0.7525568181818187,-3.873920454545458,-1.1134090909090957,-8.706647727272724,-8.129147727272727,-4.2581250000000015,-5.514034090909092,-4.310454545454542,-0.929488636363635,-3.3484090909090924,-5.712102272727276,-9.108920454545455
