,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,date,rmse
20,8.625,9.75,8.859375,29.4375,33.390625,32.0625,26.609375,19.5625,23.0625,6.468750000000028,10.84375,14.0625,-3.0,12.0,17.4375,-9.75,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,8.0625,-4.125,-2.4375,9.5625,16.875,11.4375,2021-04-14 03:20:00,21.320915200043544
21,1.875,2.09375,25.546875,30.875,30.375,28.03125,21.171875,25.25,10.734375,15.312500000000028,19.890625,-3.0,12.0,17.4375,-9.75,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,8.0625,-4.125,-2.4375,9.5625,16.875,11.4375,27.0,2021-04-14 03:30:00,21.571575309377035
22,0.703125,26.40625,32.484375,32.1875,32.328125,25.03125,29.0625,16.0,20.15625,25.46875000000003,4.484375,12.0,17.4375,-9.75,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,8.0625,-4.125,-2.4375,9.5625,16.875,11.4375,27.0,3.75,2021-04-14 03:40:00,22.138986354322437
23,27.875,34.625,34.453125,37.0,29.1875,33.09375,21.40625,25.0625,31.03125,11.875000000000028,20.96875,17.4375,-9.75,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,8.0625,-4.125,-2.4375,9.5625,16.875,11.4375,27.0,3.75,15.9375,2021-04-14 03:50:00,23.090662235077346
24,9.859375,12.25,19.640625,13.75,19.96875,12.09375,17.6875,26.75,11.859375,24.96875,24.84375,-9.75,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,8.0625,-4.125,-2.4375,9.5625,16.875,11.4375,27.0,3.75,15.9375,23.25,2021-04-14 04:00:00,21.171911035485937
25,3.296875,13.875,8.25,15.125,9.40625,15.28125,25.78125,13.5,28.96875,30.59375,0.953125,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,8.0625,-4.125,-2.4375,9.5625,16.875,11.4375,27.0,3.75,15.9375,23.25,11.625,2021-04-14 04:10:00,21.056855659081577
26,13.15625,7.1875,14.109375,9.9375,15.484375,26.8125,16.53125,33.75,36.515625,11.21875,14.796875,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,8.0625,-4.125,-2.4375,9.5625,16.875,11.4375,27.0,3.75,15.9375,23.25,11.625,3.375,2021-04-14 04:20:00,21.49590486072289
27,-5.3125,2.65625,1.03125,7.249999999999972,20.40625,13.125,33.09375,38.0,18.046875,23.03125,31.125,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,8.0625,-4.125,-2.4375,9.5625,16.875,11.4375,27.0,3.75,15.9375,23.25,11.625,3.375,-16.3125,2021-04-14 04:30:00,21.564736919748608
28,7.328125,6.5625,11.765625,25.0625,19.09375,40.125,45.484375,29.1875,33.890625,39.5625,30.265625,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,8.0625,-4.125,-2.4375,9.5625,16.875,11.4375,27.0,3.75,15.9375,23.25,11.625,3.375,-16.3125,-22.125,2021-04-14 04:40:00,23.186664773956686
29,1.171875,6.4375,20.953125,17.37499999999997,40.546875,47.4375,35.875,41.375,45.703125,37.375,45.203125,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,8.0625,-4.125,-2.4375,9.5625,16.875,11.4375,27.0,3.75,15.9375,23.25,11.625,3.375,-16.3125,-22.125,-18.9375,2021-04-14 04:50:00,24.122081014714894
