date,L,L1,L2
2020-10-01 13:30:00,279.15360728972547,266.1779311653467,12.975676124378786
2020-10-01 13:40:00,307.25724670950285,292.5268030321712,14.73044367733165
2020-10-01 13:50:00,291.76917644750273,273.07235525961266,18.696821187890087
2020-10-01 14:00:00,297.93123400652837,277.5062721217119,20.42496188481649
2020-10-01 14:10:00,322.92004988678787,307.6569037267583,15.263146160029564
2020-10-01 14:20:00,306.6920512431377,294.8196410588917,11.872410184245995
2020-10-01 14:30:00,266.4853675478981,254.57193262971083,11.913434918187244
2020-10-01 14:40:00,299.76633969261525,285.90668811918187,13.859651573433366
2020-10-01 14:50:00,259.3969644399789,242.97242953011346,16.424534909865432
2020-10-01 15:00:00,238.10784417229718,223.14133183976884,14.966512332528325
2020-10-01 15:10:00,224.03009075984772,209.4557186864964,14.574372073351322
2020-10-01 15:20:00,218.87788173130585,202.12640784735385,16.75147388395199
2020-10-01 15:30:00,203.75137426202943,189.948305750523,13.803068511506432
2020-10-01 15:40:00,213.68006770982655,200.77391218113317,12.906155528693366
2020-10-01 15:50:00,216.2164808612004,202.9880340530185,13.228446808181891
2020-10-01 16:00:00,214.7985322432084,201.80145765955163,12.997074583656776
2020-10-01 16:10:00,213.85679137031985,196.32960382388006,17.527187546439787
2020-10-01 16:20:00,206.73911127313846,190.01134282242677,16.727768450711686
2020-10-01 16:30:00,194.08843009255142,181.18145596523874,12.906974127312667
2020-10-01 16:40:00,178.20574132745915,161.9200719924556,16.28566933500355
2020-10-01 16:50:00,172.97895309160344,160.89257220578418,12.086380885819258
2020-10-01 17:00:00,159.3669081254439,147.70288106626379,11.664027059180107
2020-10-01 17:10:00,199.5587376613243,185.42117827643926,14.137559384885035
2020-10-01 17:20:00,203.1245334972035,188.73301998248098,14.39151351472251
2020-10-01 17:30:00,192.68893581154072,178.04943445181306,14.639501359727648
2020-10-01 17:40:00,204.4585417275117,189.1227962695665,15.335745457945194
2020-10-01 17:50:00,203.0587740556909,187.152712624582,15.906061431108894
2020-10-01 18:00:00,200.9609940555117,188.51003682474965,12.450957230762038
2020-10-01 18:10:00,205.46288794801936,186.96698176732502,18.49590618069432
2020-10-01 18:20:00,202.01926994323728,187.18488161563872,14.834388327598571
2020-10-01 18:30:00,204.35981237360846,190.02667379457932,14.333138579029148
2020-10-01 18:40:00,198.96328720956487,183.0527784395112,15.910508770053667
2020-10-01 18:50:00,197.1555568988506,181.65305861816503,15.502498280685565
2020-10-01 19:00:00,192.98017337344106,175.62745338180602,17.352719991635045
2020-10-01 19:10:00,182.0249810900006,163.74966831068718,18.275312779313428
2020-10-01 19:20:00,147.5550069635564,130.39287211413736,17.16213484941903
2020-10-01 19:30:00,141.61592158046338,125.1339812031865,16.48194037727688
2020-10-01 19:40:00,129.93061780499986,112.66782125876907,17.262796546230796
2020-10-01 19:50:00,134.13790080703308,118.08290580461535,16.054995002417723
2020-10-01 20:00:00,124.50894651867092,109.53772502235198,14.971221496318948
2020-10-01 20:10:00,143.25405911282382,128.89186490227377,14.36219421055006
2020-10-01 20:20:00,148.72269502692268,134.5164196078958,14.206275419026866
2020-10-01 20:30:00,148.2912453391335,131.9242681900909,16.36697714904258
2020-10-01 20:40:00,146.66871044123286,131.74448659894085,14.924223842291994
2020-10-01 20:50:00,144.4332496936504,130.30633738917157,14.126912304478829
2020-10-01 21:00:00,119.14760873170029,105.69077266430327,13.456836067397015
2020-10-01 21:10:00,123.3188564055556,109.15607829932654,14.16277810622906
2020-10-01 21:20:00,124.19735213945499,111.08129347195418,13.116058667500813
2020-10-01 21:30:00,120.45468472567472,106.94460604706278,13.510078678611945
2020-10-01 21:40:00,114.6639173214252,100.71005464232036,13.953862679104846
2020-10-01 21:50:00,110.58662146852728,98.49618893282685,12.090432535700435
2020-10-01 22:00:00,120.12012011091282,107.67517677904212,12.444943331870705
2020-10-01 22:10:00,110.57019563478843,99.98453823216795,10.585657402620477
2020-10-01 22:20:00,106.51878235718914,96.52992194872408,9.988860408465065
2020-10-01 22:30:00,113.64588627448448,103.50625185114775,10.139634423336735
2020-10-01 22:40:00,108.35007303411314,98.30077016174562,10.049302872367527
2020-10-01 22:50:00,111.59318145751949,100.63686586960499,10.956315587914508
2020-10-01 23:00:00,108.50820281126785,97.4745747031301,11.033628108137744
2020-10-01 23:10:00,114.26085986922277,105.08607123247616,9.174788636746612
