,pv_mean,pv_min,pv_max,pl_mean,pl_min,pl_max
300,0.3229296523362379,0.005162779397473143,1.1940115525099237,132.127853911324,102.19884461902437,175.75779150166645
310,0.30046933328327213,0.005596626405664163,1.113061764994005,137.48990045133675,95.78060059153705,178.3707492010934
320,0.27800901423030633,0.006030473413855183,1.0321119774780865,140.25696133222152,97.67730762340402,185.1171414462003
330,0.2555486951773406,0.006464320422046204,0.9511621899621678,152.3043748122371,92.32651251715579,213.4316836270419
340,0.2330883761243749,0.0068981674302372245,0.8702124024462492,158.84736264088377,95.27053583318538,226.8426113835087
350,0.21062805707140925,0.007332014438428245,0.7892626149303297,164.95212823123794,99.61047713253475,240.91202660326687
360,0.18816773801844341,0.007765861446619266,0.708312827414411,174.29781471999237,98.70322628196224,245.14537642487394
370,0.16570741896547767,0.008199708454810285,0.6273630398984924,181.0253751385817,102.30233924172143,247.9669001868012
380,0.14324709991251197,0.008633555463001307,0.5464132523825738,182.4482957848684,106.4056923849541,252.34100869437236
390,0.12078678085954625,0.009067402471192327,0.46546346486665513,191.27105143251478,96.83690573316096,260.8911675018015
400,0.10592422466208173,0.009501249479383347,0.3845136773507356,201.15063052176623,99.31288813685511,303.22870554242814
410,0.3040211919101102,0.004623921085080001,3.75,219.1345404939207,96.30469540682708,327.43424748439406
420,1.0872368851122487,0.007515628597618118,13.125,235.26902449886106,94.765641035857,412.23685324729024
430,2.7263827058385552,0.00997470326669192,15.0,240.04978440274755,101.13151865267972,418.2824284689766
440,5.240566969598645,0.01123663751214743,21.874999995343387,247.278674836781,101.34052015424848,411.03473011363633
450,8.957494277881379,0.008361204013377001,34.50000000419095,244.66315502515565,101.8226992632892,395.5640659157288
460,11.627115640605124,0.00687871150226016,41.25,249.0517560743516,102.81656484250668,398.5316596074937
470,15.717244925780303,0.01253817853672049,58.499999998603016,258.38544458501264,98.99804295531102,405.1227876155747
480,20.62407683004988,0.008305647840531,64.49999999720603,267.859636636891,117.49456472134372,400.3967866986713
490,29.026563054595847,0.017048639308664626,92.24999999860302,269.55716858485835,118.3974769298847,425.53966651772555
500,33.85208333358169,2.25,102.50000001629815,258.59460755191947,4.453056943827662,405.66387968517483
510,35.714583333348855,3.75,114.49999999953434,259.1193560724158,4.853524898660595,404.6526862250433
520,44.88750000135042,9.375,120.0,262.1405655320053,2.958486454110397,414.6078076632518
530,56.329166665207595,3.75,248.25000000419095,276.80544002520077,107.70118918242275,426.311473499645
540,62.59166666911915,9.375,165.75000000419095,280.85712037659766,126.30675000277432,425.48024860863546
550,61.88749999902211,7.5,166.50000000139698,283.98445803216566,125.15404794730394,432.688960484096
560,70.34583333041519,7.5,178.49999999860302,283.599246027906,124.20286175152197,397.7558582850866
570,81.08749999874271,7.5,241.875,283.17272500790546,135.4011080732969,399.61073429212655
580,87.08125000074506,5.625,227.24999999860302,279.09071006830436,134.07845008486788,376.43050275530123
590,99.31041666748933,3.75,296.25,273.574908300887,122.7864516122001,378.3417235757703
600,103.34166666842066,7.5,314.25000000279397,272.34158606260826,122.37438456217447,361.76505093961146
610,105.84791666548699,7.5,265.24999999674037,266.96531816019814,134.8995640147816,358.19588526973024
620,101.70208333269693,7.5,249.00000000139698,275.1172269631032,129.15365506891612,360.51564358797935
630,114.68958333064802,11.25,255.0,278.6732885532199,129.61713729585924,385.2057456599856
640,130.45833333139308,7.5,318.00000000279397,271.3206525018095,130.53657210875895,374.35836527897743
650,125.63958333223127,3.75,294.749999998603,270.15312124379346,132.623237110744,381.6475895472934
660,118.55833333474584,7.5,275.250000001397,280.8263121594754,153.82880184628542,358.74102387604887
670,137.93125000130385,3.75,332.25000000558794,275.42801303872034,143.1724557439122,369.80928521407276
680,132.11250000121072,7.5,324.000000001397,271.4666848709311,121.30088327581232,371.06092907133564
690,123.50833333097398,7.5,319.37500001164153,271.8963574689945,121.36839822622443,367.26508420652095
700,119.22500000125729,1.875,295.12499999720603,269.5752293110565,124.67080395562309,362.54106253164804
710,119.11041666613892,9.375,323.1249999906868,273.3484399118205,129.39155920119515,379.81145364266854
720,105.9770833349321,3.75,297.750000001397,277.4102760793605,135.27373298438826,372.66914004371273
730,116.73749999864958,7.5,271.500000001397,270.99097329217324,130.6036799065421,354.48869673702694
740,121.8874999997206,9.375,347.249999998603,270.94252256560225,121.88526354337995,383.7506812915467
750,122.54791666404344,3.75,339.000000001397,265.13599399708164,121.71784155218455,344.7090480012714
760,129.92189018386986,13.125,330.75000000419095,270.1827253162334,133.0639431240322,343.80126148570673
770,131.1062499990221,7.5,356.25,264.0510806485503,109.33825514051648,352.41607113792764
780,123.92708333116025,15.624999969732016,323.99999999441206,270.5033539041401,119.952185454192,363.1401910691031
790,123.34045782179471,11.25,309.749999998603,271.71844992530276,125.4310474730375,374.11337924222323
800,117.09845678946635,11.25,297.24999996833503,270.8174814310001,122.98566674286464,374.99887084960943
810,105.11062242891143,3.75,324.000000001397,262.1609960620484,125.59636119626603,364.5358398982455
820,111.39166666613892,9.375,312.25000001024455,261.4802038782049,117.17747640609738,406.1689831869943
